               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.031291,            0.011823,           0.0022469,             0.80411,             0.75086,             0.74392,             0.36433,            0.039413,            0.009439,            0.002222,           0.0090595,           0.0090595,           0.0090595
                  97,            0.027769,            0.011607,          0.00081296,             0.75958,               0.675,               0.692,             0.35519,            0.038427,            0.010022,           0.0024104,           0.0090496,           0.0090496,           0.0090496
                  98,            0.038293,             0.01327,           0.0023558,             0.83256,             0.63333,             0.69889,             0.38956,            0.041287,            0.010354,           0.0026836,           0.0090397,           0.0090397,           0.0090397
                  99,            0.032893,            0.012316,          0.00099386,              0.8212,             0.62601,             0.67055,             0.34944,             0.05019,            0.010141,           0.0030117,           0.0090298,           0.0090298,           0.0090298
                 100,            0.034814,              0.0123,           0.0014778,             0.90288,             0.63333,             0.68057,             0.34178,            0.057215,            0.010322,           0.0033267,           0.0090199,           0.0090199,           0.0090199
                 101,             0.03138,            0.011278,           0.0030966,             0.91997,             0.63212,             0.71919,             0.35184,            0.047666,            0.010834,           0.0055564,             0.00901,             0.00901,             0.00901
                 102,             0.03402,            0.010873,          0.00093615,             0.85007,              0.6064,             0.68629,             0.28897,            0.049226,            0.011268,           0.0064295,           0.0090001,           0.0090001,           0.0090001
                 103,            0.036937,            0.013569,           0.0031492,             0.82229,             0.57374,             0.61798,             0.29489,            0.059513,            0.011049,           0.0067915,           0.0089902,           0.0089902,           0.0089902
                 104,            0.029626,            0.010183,           0.0012255,             0.84188,             0.59167,             0.60932,             0.26397,            0.061105,            0.011743,           0.0079449,           0.0089803,           0.0089803,           0.0089803
                 105,            0.030093,            0.013834,           0.0020507,              0.7222,             0.63333,             0.60534,             0.28249,            0.058724,            0.011719,            0.011386,           0.0089704,           0.0089704,           0.0089704
                 106,            0.032976,            0.013053,           0.0018961,             0.77571,              0.4811,              0.4717,             0.19788,            0.062426,            0.011333,            0.011629,           0.0089605,           0.0089605,           0.0089605
                 107,            0.031545,            0.011674,           0.0012799,             0.74898,             0.54167,             0.57997,             0.25416,            0.054903,            0.011577,            0.008049,           0.0089506,           0.0089506,           0.0089506
                 108,            0.029139,            0.011503,          0.00098851,             0.91391,             0.49047,             0.59792,             0.24927,            0.055186,            0.011547,           0.0064285,           0.0089407,           0.0089407,           0.0089407
                 109,             0.03587,            0.011845,           0.0038162,             0.68959,             0.65183,             0.68899,             0.27385,            0.049954,            0.011223,           0.0037178,           0.0089308,           0.0089308,           0.0089308
                 110,            0.030488,             0.01179,           0.0012711,             0.83454,             0.62146,             0.72982,             0.30666,            0.047463,            0.011089,           0.0022858,           0.0089209,           0.0089209,           0.0089209
                 111,              0.0343,            0.012611,           0.0023688,             0.77708,             0.59167,             0.66016,             0.31855,            0.045313,            0.011391,           0.0014378,            0.008911,            0.008911,            0.008911
                 112,            0.031769,            0.012679,           0.0018117,             0.55167,             0.54167,             0.50855,             0.25566,            0.048474,            0.011427,           0.0015434,           0.0089011,           0.0089011,           0.0089011
                 113,            0.030718,            0.010761,           0.0025527,             0.50479,             0.54167,             0.49376,             0.28972,            0.040904,            0.011216,           0.0018554,           0.0088912,           0.0088912,           0.0088912
